group_id,icon_name,product_id,score
1,lip_stick,982248,98382
1,lip_stick,992321,98382
1,lip_stick,981640,98382
1,lip_stick,994301,98382
1,lip_stick,967571,98382
1,lip_stick,985216,98382
1,lip_stick,993948,98382
1,lip_stick,985688,98382
1,lip_stick,734501,98382
1,lip_stick,985738,98382
1,lip_stick,354512,98382
1,lip_stick,993754,98382
1,lip_stick,956783,98382
1,lip_stick,3420,98382
1,lip_stick,6825,98382
1,lip_stick,985412,98382
1,lip_stick,983059,98382
1,lip_stick,741508,98382
1,lip_stick,3651,98382
1,lip_stick,988466,98382
1,lip_stick,983977,98382
1,lip_stick,987845,98382
1,lip_stick,778029,98382
1,lip_stick,983653,98382
1,lip_stick,983784,98381
1,lip_stick,984326,98379
1,lip_stick,980182,98351
1,lip_stick,988465,98318
1,lip_stick,985654,98063
1,lip_stick,990432,97773
1,lip_stick,485509,97768
1,lip_stick,988314,97596
1,lip_stick,987022,95970
1,lip_stick,988233,95739
1,lip_stick,967577,94589
1,lip_stick,994383,91613
1,lip_stick,989834,88906
1,lip_stick,991498,88535
1,lip_stick,993500,88171
1,lip_stick,993039,85772
1,lip_stick,983253,83458
1,lip_stick,993980,70252
1,lip_stick,981323,68584
1,lip_stick,983207,65375
1,lip_stick,984091,60494
1,lip_stick,992453,59563
1,lip_stick,988072,56485
1,lip_stick,985213,53423
1,fragrance,1134,98382
1,fragrance,989899,98382
1,fragrance,991468,98382
1,fragrance,989619,98382
1,fragrance,992703,98382
1,fragrance,1919,98382
1,fragrance,992598,98382
1,fragrance,991724,98382
1,fragrance,992850,98382
1,fragrance,521059,98382
1,fragrance,992597,98382
1,fragrance,988682,98382
1,fragrance,982203,98382
1,fragrance,993190,98382
1,fragrance,993329,98382
1,fragrance,450183,98381
1,fragrance,991467,98379
1,fragrance,990666,98377
1,fragrance,989824,98377
1,fragrance,990669,98358
1,fragrance,988426,98339
1,fragrance,992748,98292
1,fragrance,980214,98239
1,fragrance,981707,98217
1,fragrance,980154,98159
1,fragrance,6824,98150
1,fragrance,545522,98046
1,fragrance,992846,97961
