group_id,icon_name,product_id,score
6,serum,849010,50293
6,serum,983855,50150
6,serum,988601,50138
6,serum,969551,49960
6,serum,985670,49921
6,serum,845536,49893
6,serum,987070,49236
6,serum,905075,48287
6,serum,969795,47095
6,serum,267002,46140
6,serum,993036,44471
6,serum,667002,43812
6,serum,952518,42684
6,serum,4767,41839
6,serum,986561,41756
6,serum,984232,40943
6,serum,993205,35815
6,serum,905012,34362
6,serum,333504,28095
6,serum,969830,20658
6,facial_mask,905059,50750
6,facial_mask,5801,50750
6,facial_mask,986451,50750
6,facial_mask,979916,50750
6,facial_mask,982774,50750
6,facial_mask,986452,50749
6,facial_mask,987071,50747
6,facial_mask,980029,50747
6,facial_mask,981756,50746
6,facial_mask,980305,50742
6,facial_mask,990855,50742
6,facial_mask,984491,50742
6,facial_mask,983899,50742
6,facial_mask,991673,50741
6,facial_mask,982775,50736
6,facial_mask,983868,50732
6,facial_mask,985821,50727
6,facial_mask,975674,50726
6,facial_mask,969832,50725
6,facial_mask,5818,50724
6,facial_mask,905084,50696
6,facial_mask,905068,50653
6,facial_mask,993005,50628
6,facial_mask,984626,50579
6,facial_mask,905070,50523
6,facial_mask,990490,50390
6,facial_mask,983764,49633
6,facial_mask,5686,48526
6,facial_mask,987077,48189
6,facial_mask,991212,47648
6,facial_mask,983347,47148
6,facial_mask,980030,46959
6,facial_mask,982260,46877
6,facial_mask,991903,46357
6,facial_mask,549030,46273
6,facial_mask,980031,45455
6,facial_mask,981759,45392
6,facial_mask,984292,44242
6,facial_mask,981758,43589
6,facial_mask,833542,39895
6,facial_mask,845527,39799
6,facial_mask,5687,39656
6,facial_mask,719012,30997
6,facial_mask,986283,30555
6,facial_mask,982265,30348
6,facial_mask,993846,27109
6,facial_mask,988812,24142
6,facial_mask,984627,22885
6,facial_mask,824078,21204
6,facial_mask,833543,20919
6,lip_stick,991498,50747
6,lip_stick,985412,50746
6,lip_stick,967571,50744
6,lip_stick,993039,50744
6,lip_stick,983253,50744
6,lip_stick,981640,50743
6,lip_stick,992321,50742
6,lip_stick,982248,50742
6,lip_stick,983648,50741
6,lip_stick,993500,50741
6,lip_stick,993948,50740
6,lip_stick,985216,50739
6,lip_stick,956783,50739
6,lip_stick,985738,50732
6,lip_stick,734501,50728
6,lip_stick,994307,50548
6,lip_stick,994301,50365
6,lip_stick,994383,50347
6,lip_stick,994199,50147
6,lip_stick,993198,49984
6,lip_stick,981289,49628
6,lip_stick,982040,49501
6,lip_stick,983931,49316
6,lip_stick,989863,48833
6,lip_stick,778029,48662
6,lip_stick,485509,48605
6,lip_stick,992453,48556
6,lip_stick,967588,47968
6,lip_stick,981323,47824
6,lip_stick,983207,47766
6,lip_stick,989544,47693
6,lip_stick,990432,47492
6,lip_stick,981322,47484
6,lip_stick,967577,47410
6,lip_stick,989834,46357
6,lip_stick,3651,45581
6,lip_stick,983653,44579
6,lip_stick,985652,43919
6,lip_stick,985213,43006
6,lip_stick,354512,40201
6,lip_stick,983977,38215
6,lip_stick,987845,37814
6,lip_stick,984091,37546
6,lip_stick,741508,37258
6,lip_stick,983784,36232
6,lip_stick,987997,35862
6,lip_stick,988466,34640
6,lip_stick,983059,34637
6,lip_stick,6825,32579
6,lip_stick,3420,31148
6,fragrance,987759,50749
6,fragrance,986704,50749
6,fragrance,989824,50729
6,fragrance,991114,50715
6,fragrance,956566,50668
6,fragrance,990666,50657
6,fragrance,982203,50539
6,fragrance,983952,50533
6,fragrance,988682,50422
6,fragrance,980215,50346
6,fragrance,5027,50280
6,fragrance,992621,50175
6,fragrance,992742,50134
6,fragrance,984102,50000
6,fragrance,1613,49677
6,fragrance,987758,49566
6,fragrance,988426,49151
6,fragrance,992703,48544
6,fragrance,989619,48225
6,fragrance,1134,48225
6,fragrance,980214,48122
6,fragrance,991586,47144
6,fragrance,991063,46918
6,fragrance,983389,46792
6,fragrance,988655,45824
6,fragrance,992850,45648
6,fragrance,992975,45428
6,fragrance,990669,44987
6,fragrance,6641,44867
