group,icon,op_code,vote_score
2,facial_mask,991673,54211
2,facial_mask,7250,51803
2,facial_mask,983764,48687
2,facial_mask,988249,44671
2,facial_mask,986308,32450
2,lip_stick,994199,59439
2,lip_stick,983253,59439
2,lip_stick,994307,59439
2,lip_stick,983977,59439
2,lip_stick,981640,59438
2,lip_stick,983059,59437
2,lip_stick,6825,59434
2,lip_stick,741508,59431
2,lip_stick,991315,59431
2,lip_stick,988233,59429
2,lip_stick,988072,59427
2,lip_stick,989863,59423
2,lip_stick,993980,59418
2,lip_stick,988466,59415
2,lip_stick,985688,59411
2,lip_stick,994301,59409
2,lip_stick,983784,59407
2,lip_stick,983207,59399
2,lip_stick,989833,59399
2,lip_stick,956783,59382
2,lip_stick,982040,59348
2,lip_stick,983653,59321
2,lip_stick,985738,59208
2,lip_stick,994040,59162
2,lip_stick,983648,59113
2,lip_stick,981650,59062
2,lip_stick,981322,58982
2,lip_stick,988314,58826
2,lip_stick,992321,58718
2,lip_stick,778029,58713
2,lip_stick,990432,58358
2,lip_stick,993039,58257
2,lip_stick,354512,58252
2,lip_stick,991399,58174
2,lip_stick,984326,57576
2,lip_stick,991400,57208
2,lip_stick,994039,57069
2,lip_stick,993754,54979
2,lip_stick,982248,50933
2,lip_stick,750040,45731
2,lip_stick,3420,45088
2,lip_stick,981289,42566
2,lip_stick,223002,39783
2,lip_stick,3651,39579
2,lip_stick,981323,35823
2,lip_stick,994383,33961
2,lip_stick,993985,33685
2,lip_stick,987845,32705
2,lip_stick,987022,32172
2,lip_stick,981641,31796
2,fragrance,987759,59439
2,fragrance,984102,59439
2,fragrance,987758,59439
2,fragrance,956566,59438
2,fragrance,988682,59438
2,fragrance,905033,59438
2,fragrance,990669,59438
2,fragrance,981711,59437
2,fragrance,6641,59437
2,fragrance,993190,59436
2,fragrance,991062,59436
2,fragrance,545522,59427
2,fragrance,988426,59416
2,fragrance,969517,59412
2,fragrance,991136,59393
2,fragrance,991468,59386
2,fragrance,981707,59356
2,fragrance,984079,59342
2,fragrance,982203,59209
2,fragrance,1919,59205
2,fragrance,987617,59115
2,fragrance,485504,58783
2,fragrance,989603,58744
2,fragrance,3900,58704
2,fragrance,987756,58585
2,fragrance,1134,58583
2,fragrance,982161,58045
2,fragrance,992621,57719
2,fragrance,985034,57408
2,fragrance,991951,57099
2,fragrance,992765,53904
2,fragrance,984078,53414
2,fragrance,992597,52650
2,fragrance,983952,51928
2,fragrance,990666,51089
2,fragrance,983217,50891
2,fragrance,989764,47641
2,fragrance,962145,47450
2,fragrance,986709,47207
2,fragrance,992846,45157
2,fragrance,819154,45143
2,fragrance,982209,44648
2,fragrance,991061,40958
2,fragrance,993329,36928
2,fragrance,993486,36223
2,fragrance,987748,34388
2,fragrance,969774,32906
2,fragrance,993187,32739
2,fragrance,969776,31484
2,fragrance,5027,30333
3,hot_sale,982849,7454
3,hot_sale,991416,7454
3,hot_sale,581624,7454
3,hot_sale,991402,7454
3,hot_sale,5802,7454
3,hot_sale,993862,7454
3,hot_sale,987984,7454
3,hot_sale,994200,7454
3,hot_sale,992829,7454
3,hot_sale,991408,7454
3,hot_sale,992261,7454
3,hot_sale,988682,7454
3,hot_sale,991880,7454
3,hot_sale,993958,7454
3,hot_sale,991392,7454
3,hot_sale,1134,7454
3,hot_sale,992859,7454
3,hot_sale,991695,7454
3,hot_sale,984197,7454
